gene_id,ig_rank,saliency_rank,gbp_rank,gs_rank
ENSG00000111142.12,776.6981739,15.35823476,15.35823476,46.60785906
ENSG00000143412.8,541.3622851,15.35730149,15.35730149,78.6236509
ENSG00000135631.14,746.7718928,15.35679692,15.35679692,67.53960638
ENSG00000006756.14,747.926634,15.3536728,15.3536728,72.11910139
ENSG00000105329.8,765.1349564,15.35239409,15.35239409,73.48774761
ENSG00000151065.12,664.172215,15.34663941,15.34663941,51.67279525
ENSG00000085840.11,482.885796,15.34592884,15.34592884,103.2340065
ENSG00000109501.12,716.5564644,15.3454411,15.3454411,62.35665055
ENSG00000173641.16,540.9427514,15.34294999,15.34294999,153.8288667
ENSG00000116459.9,838.4202043,15.3391067,15.3391067,45.96819623
ENSG00000101310.13,790.2486502,15.33800669,15.33800669,55.2616083
ENSG00000188167.7,447.5885509,15.33791278,15.33791278,70.15901791
ENSG00000126368.5,693.5622322,15.33693576,15.33693576,63.75918848
ENSG00000148082.8,589.8790811,15.33583709,15.33583709,144.9351823
ENSG00000115977.17,671.7235831,15.3336292,15.3336292,49.18019214
ENSG00000104415.12,508.6441466,15.33342238,15.33342238,128.6074329
ENSG00000132300.17,667.0543947,15.33142873,15.33142873,41.48603116
ENSG00000153113.22,716.8004974,15.33005816,15.33005816,51.30711987
ENSG00000079931.13,599.2041821,15.32858304,15.32858304,133.3030574
ENSG00000159884.10,531.2701974,15.32753504,15.32753504,48.35276701
ENSG00000135821.15,932.3968512,15.32731246,15.32731246,70.73832671
ENSG00000163637.10,588.7837666,15.32660902,15.32660902,81.84622039
ENSG00000104219.11,619.0807919,15.32448414,15.32448414,81.7700345
ENSG00000125633.9,688.0324758,15.32381831,15.32381831,49.71235165
ENSG00000099810.17,668.0039882,15.32282787,15.32282787,60.81550137
ENSG00000241468.6,862.4365611,15.32020791,15.32020791,55.10091178
ENSG00000186827.9,521.1986816,15.31228656,15.31228656,89.00540939
ENSG00000124422.10,858.1038701,15.31029223,15.31029223,54.10819383
ENSG00000105122.11,566.7985681,15.31026663,15.31026663,81.22113248
ENSG00000022556.14,553.3149591,15.30759929,15.30759929,224.2249774
ENSG00000105576.14,727.1068572,15.30343423,15.30343423,43.82952792
ENSG00000168116.12,418.5817952,15.30309363,15.30309363,41.35391927
ENSG00000165501.15,709.78,15.30149178,15.30149178,80.82784015
ENSG00000134901.11,503.9273327,15.30067583,15.30067583,64.42483378
ENSG00000158828.5,800.6721427,15.30018777,15.30018777,61.96989082
ENSG00000198826.9,503.9783533,15.300132,15.300132,83.69857598
ENSG00000141753.6,929.9263724,15.29776372,15.29776372,90.90138983
ENSG00000146433.8,699.2593009,15.29207803,15.29207803,51.3968199
ENSG00000165219.20,675.5072426,15.2851219,15.2851219,45.84255982
ENSG00000170776.18,706.7302441,15.28264582,15.28264582,50.01509149
ENSG00000146242.7,583.6677385,15.2810243,15.2810243,97.70805965
ENSG00000147130.13,720.3219773,15.27838871,15.27838871,50.78535802
ENSG00000113966.8,446.5510576,15.27558785,15.27558785,49.55043769
ENSG00000112305.13,593.2953957,15.27420587,15.27420587,46.52976147
ENSG00000124383.7,651.2215017,15.27273252,15.27273252,44.91895254
ENSG00000115944.13,896.4923206,15.27149446,15.27149446,51.38530692
ENSG00000176055.9,506.5578837,15.27094061,15.27094061,48.4060918
